SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 10:41:29;
PERÍODO DE: 01/05/2021 A 31/05/2021;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
902776;ISS A RECUPERAR;1518,21;0;0;1518,21;
902771;PIS A RECUPERAR;5171,31;7818,30;-10246,98;2742,63;
905733;PIS RETIDO NA FONTE;848,08;5,62;0;853,70;
1.01.07;OUTROS CREDITOS;285844,77;1368,41;0;287213,18;
1.01.07.01;OUTROS CREDITOS;285844,77;1368,41;0;287213,18;
902790;CONSORCIO;285844,77;1368,41;0;287213,18;
1.02;NAO CIRCULANTE;5665713,30;420347,80;0;6086061,10;
1.02.01;REALIZAVEL A LONGO PRAZO;336712,75;10000,00;0;346712,75;
1.02.01.02;APLICACOES FINANCEIRA DE LONGO PRAZO;336712,75;10000,00;0;346712,75;
902801;APLICACOES BANCO BRADESCO FUNDO RISCO;88452,95;0;0;88452,95;
906094;BRASILPREV;100000,00;10000,00;0;110000,00;
904246;COTAS DE CAPITAL SICOOB;148259,80;0;0;148259,80;
1.02.07;CUSTO DE AQUISICOES DE IMOBILIZADO;7494771,88;410347,80;0;7905119,68;
1.02.07.01;CUSTO DE AQUISICOES DE IMOBILIZADO;7494771,88;410347,80;0;7905119,68;
903016;BENFEITORIAS EM BENS DE TERCEIROS - BSB;567110,28;0;0;567110,28;
905259;COMPUTADORES E PERIFERICOS;285193,32;0;0;285193,32;
902811;FERRAMENTAS;1770350,46;0;0;1770350,46;
902989;MAQUINAS E EQUIPAMENTOS;410023,43;1347,80;0;411371,23;
902945;MOVEIS E UTENSILIOS;426673,86;0;0;426673,86;
902869;VEICULOS;4035420,53;409000,00;0;4444420,53;
1.02.08;(-) DEPRECIACOES ACUMULADAS;-2274760,14;0;0;-2274760,14;
1.02.08.01;(-) DEPRECIACOES ACUMULADAS;-2274760,14;0;0;-2274760,14;
902812;(-) DEPR. ACUMULADA - BENFEITORIAS TERC - MTZ;-481608,11;0;0;-481608,11;
905260;(-) DEPR. ACUMULADA COMPUTADORES E PERIF.;-164846,47;0;0;-164846,47;
902928;(-) DEPR. ACUMULADA  MOVEIS E UTENSILIOS;-102364,03;0;0;-102364,03;
902829;(-) DEPR. ACUMULADA VEICULOS;-1371455,79;0;0;-1371455,79;
902988;(-) DEPR. ACUMUMULADA MAQUINAS E EQUIPAMENTOS;-154485,74;0;0;-154485,74;
1.02.10;CUSTOS DE AQUISICOES DE INTANGIVEL;108988,81;0;0;108988,81;
1.02.10.01;CUSTOS DE AQUISICOES DE INTANGIVEIL;108988,81;0;0;108988,81;
903014;SOFTWARE ADQUIRIDOS;108988,81;0;0;108988,81;
1.80;CONTAS TEMPORARIAS;0;26264087,73;-26264087,73;0;
1.80.01;CONTAS TEMPORARIAS;0;26264087,73;-26264087,73;0;
15003;COMPRAS DISTRIBUIR;0;2675193,25;-2675193,25;0;
900130;DEVOLUCAO COMPRAS DISTRIBUIR;0;7419,76;-7419,76;0;
900131;DEVOLUCAO VENDAS DISTRIBUIR;0;1492055,46;-1492055,46;0;
901974;FRETES A DISTRIBUIR;0;20122,20;-20122,20;0;
903383;TRANSFERENCIA ENTRE FILIAIS A DISTRIBUIR;0;8366506,17;-8366506,17;0;
15005;VENDAS DISTRIBUIR;0;13702790,89;-13702790,89;0;
2;PASSIVO;39220631,66;14449674,50;-10766820,58;35537777,74;
2.01;PASSIVO CIRCULANTE;31256873,60;14288865,58;-10766820,58;27734828,60;
2.01.01;FORNECEDORES;21959051,81;8140564,35;-3666752,61;17485240,07;
2.01.01.01;FORNECEDORES;21959051,81;8140564,35;-3666752,61;17485240,07;
2.01.02;OBRIGACOES FISCAIS A RECOLHER;255781,09;1106482,70;-1389681,98;538980,37;
2.01.02.01;IMPOSTOS E CONTRIBUICOES A  RECOLHER;255781,09;1106482,70;-1389681,98;538980,37;
903031;COFINS A RECOLHER;0;47194,14;-47194,14;0;
905357;CSRF A RECOLHER;99,74;99,74;-214,35;214,35;
907611;DIFAL A RECOLHER SAIDA;5610,73;2475,08;-1218,71;4354,36;
905246;GNRE ST A RECOLHER;31066,26;1503,92;-3140,56;32702,90;
903026;ICMS A RECOLHER;150444,10;1002413,87;-1275260,67;423290,90;
908847;ICMS ST GR A RECOLHER;46296,80;20287,42;-18776,72;44786,10;
903027;IRRF A RECOLHER;22233,94;22232,03;-30730,60;30732,51;
903028;ISS A RECOLHER;29,52;29,52;-2899,25;2899,25;
903030;PIS A RECOLHER;0;10246,98;-10246,98;0;
2.01.04;SALARIOS E OBRIGACOES SOCIAL A PAGAR;254476,94;190222,54;-236875,03;301129,43;
2.01.04.01;SALARIOS E OBRIGACOES;254476,94;190222,54;-236875,03;301129,43;
903025;FGTS A RECOLHER;11161,37;11161,37;-14367,29;14367,29;
903024;INSS A RECOLHER;55543,70;55543,70;-68055,98;68055,98;
903064;PRO-LABORE A PAGAR;70778,76;6524,36;-10540,26;74794,66;
903043;SALARIOS A PAGAR;116993,11;116993,11;-143911,50;143911,50;
2.01.06;OUTRAS OBRIGACOES A PAGAR;8787563,76;4851595,99;-5473510,96;9409478,73;
2.01.06.01;OUTRAS OBRIGACOES A PAGAR;8787563,76;4851595,99;-5473510,96;9409478,73;
903067;ADIANTAMENTO DE CLIENTES;12735127,17;4238010,23;-3630511,92;12127628,86;
905504;ALUGUEIS A PAGAR;55349,99;30511,19;-36161,09;60999,89;
903065;CONTAS A PAGAR;-463821,66;23760,00;0;-487581,66;
903070;DEPOSITOS BANCARIOS A IDENTIFICAR;48028,91;2128,72;-23198,72;69098,91;
904643;DEVOLUCOES DE VENDAS;265268,19;29645,63;-1487707,19;1723329,75;
905373;FUNDO DE CAPITALIZACAO RECONTRIBUICAO;-3852388,84;527540,22;-295932,04;-4083997,02;
2.02;NAO CIRCULANTE;3443621,32;160808,92;0;3282812,40;
2.02.01;EXIGIVEL A LONGO PRAZO;3443621,32;160808,92;0;3282812,40;
2.02.01.01;EMPRESTIMOS BANCARIOS-LONGO PRAZO;3280054,42;157025,24;0;3123029,18;
2.02.01.02;EMPRESTIMOS BANCARIOS-LONGO PRAZO FILIAL;5613,06;561,29;0;5051,77;
2.02.01.03;PARCELAMENTOS FISCAIS - LONGO PRAZO;157953,84;3222,39;0;154731,45;
909503;PARCELAMENTO ESPECIAIS E ORDINARIOS A RECOLHER;157953,84;3222,39;0;154731,45;
2.03;PATRIMONIO LIQUIDO;4327976,98;0;0;4327976,98;
2.03.01;CAPITAL SOCIAL;14500000,00;0;0;14500000,00;
2.03.01.01;CAPITAL SOCIAL;14500000,00;0;0;14500000,00;
903097;CAPITAL SOCIAL;9000000,00;0;0;9000000,00;
903829;CAPITAL SOCIAL - FILIAL BA;200000,00;0;0;200000,00;
903098;CAPITAL SOCIAL - FILIAL BSB;2900000,00;0;0;2900000,00;
910605;CAPITAL SOCIAL - FILIAL CRISTALINA;300000,00;0;0;300000,00;
906948;CAPITAL SOCIAL - FORMOSA - GO;2100000,00;0;0;2100000,00;
